chr,start,end,state,GC,CpG,nCGm,LINE,SINE,NLp,ins.std,del.std,sub.std,microsat.std
1,4000001,5000001,1,47.7054,6,4382,375,379,835,-1.435789644,-1.180744135,-1.257580476,-0.556341895
1,5000001,6000001,2,45.2007,5,5198,421,388,800,0.051874597,-0.924994484,0.808183253,2.60748284
1,6000001,7000001,2,51.5073,43,6653,403,1058,361,-0.679201482,0.357100878,0.00980167,1.478496032
1,7000001,8000001,2,47.6709,11,5831,496,690,462,0.191930414,-0.056246748,0.255453251,3.222295014
1,8000001,9000001,2,44.6894,15,7385,471,1171,109,0.01828144,-0.795532886,0.444224109,3.089762186
1,9000001,10000001,2,50.0579,27,6518,363,1460,163,-0.444189997,-0.90958842,0.54213611,3.494529748
1,10000001,11000001,1,48.0854,23,8518,391,1270,205,-0.405333475,-1.235745733,-0.887766751,-0.568528191
1,11000001,12000001,1,50.1162,23,8613,384,1281,464,-1.220094365,-2.420694708,-2.374819576,-0.889328173
1,12000001,13000001,1,45.3202,9,7151,415,990,270,-1.391685911,-2.857721279,-2.367269606,-1.174566616
1,13000001,14000001,1,39.9685,6,1659,257,976,375,-2.417358921,-1.520044752,-1.681142688,-0.083950701
1,14000001,15000001,1,43.8786,2,5041,534,689,929,-2.151484973,-1.79561481,-2.588060492,-0.157163023
1,15000001,16000001,1,49.0873,19,6721,427,1310,376,0.20743926,-1.519129718,-0.92380229,0.134318437
1,16000001,17000001,1,49.0332,40,5847,349,1331,140,-1.572216686,-1.932291622,-1.622066593,0.118352351
1,17000001,18000001,1,48.5426,22,6338,429,1300,450,-0.751701461,-1.853452942,-2.495002413,-1.830001493
1,18000001,19000001,1,49.0031,16,4625,526,1054,904,-0.527233855,-1.448628213,-2.140729236,0.914182223
1,19000001,20000001,1,48.5994,17,8370,486,1289,230,-1.474873913,-1.578854015,-1.020714884,-1.645875823
1,20000001,21000001,1,47.2401,15,4498,549,1109,456,-0.62925915,-1.972089037,-0.648794404,-1.632984016
1,21000001,22000001,1,45.3767,16,8062,464,1349,107,-0.120322636,-1.148300633,-0.127285086,0.631106163
1,22000001,23000001,1,50.2133,22,5797,488,1363,217,-1.080022118,-0.857755172,-0.928154382,-1.827156741
1,23000001,24000001,1,46.8311,20,6506,472,1594,115,-1.750910995,-3.354283817,-4.312136306,0.254755517
1,24000001,25000001,1,46.3004,13,5817,489,1504,240,-1.137982394,-1.35908869,-1.683997235,1.004362639
1,25000001,26000001,1,47.9408,16,5071,520,1195,227,-1.657383755,-1.410754138,-2.713227483,-1.406555975
1,26000001,27000001,1,48.159,27,6448,492,1595,178,-0.897330456,-0.422323926,-1.09481186,-0.046540333
1,27000001,28000001,1,49.2809,34,5591,449,1659,127,-2.722449113,-2.796970784,-2.657274584,1.13002231
1,28000001,29000001,1,45.4544,20,8874,475,1942,108,-0.577599455,-0.593454894,-0.828325313,0.139901728
1,29000001,30000001,1,44.816,12,5819,464,1236,596,-2.397110548,-0.726858061,-1.158262463,-1.705664829
1,30000001,31000001,1,47.8576,4,4126,559,780,877,-1.1818275,-2.015490696,-0.830240604,2.418008978
1,31000001,32000001,1,47.759,19,6414,463,1417,182,-1.300459881,-2.588860002,-4.068102658,-1.331272429
1,32000001,33000001,1,46.9887,28,7613,501,1663,124,-1.405727898,-0.97489783,-1.532569825,-0.202160956
1,33000001,34000001,1,46.301,23,6467,603,1024,396,0.062484177,0.52231489,-0.981514001,-1.332093838
1,34000001,35000001,1,44.732,3,5421,666,602,1030,-1.746335858,-2.700727606,-2.113856521,-1.260891343
1,35000001,36000001,1,43.4085,21,7425,660,1124,367,-1.48845966,-1.044597248,-1.64491461,0.683073882
1,36000001,37000001,1,46.6123,20,6386,528,1269,448,-0.977901728,-1.18639723,-1.42381044,0.275385958
1,37000001,38000001,1,48.0192,14,4837,538,877,875,-0.96820153,-1.22936129,-1.769496169,1.248251422
1,38000001,39000001,1,45.9328,14,6253,507,929,838,-1.863852907,-2.051925334,-2.495232917,1.264146907
1,39000001,40000001,1,45.0676,16,8880,497,1289,216,-0.942994051,-1.681444512,-2.316268804,-0.760512399
1,40000001,41000001,1,44.1539,23,5823,613,1246,197,-1.158091633,-0.11888781,-0.993925169,0.252925273
1,41000001,42000001,1,47.4193,17,4935,589,1016,237,-2.542920577,-1.11774056,-1.940495884,0.974371755
1,42000001,43000001,1,42.0431,10,4933,674,758,437,-0.69930312,-0.29746006,-0.763127062,0.629950354
